Label,Count
"run, 90-degree right turn",2
"run, 90-degree left turn",2
"run, veer right",2
Jumping Twists,2
"run/jog, 90-degree right turn",2
"run/jog, 90-degree left turn",2
"run/jog, veer right",2
"run/jog, veer left",2
"slow walk, stop",2
"run/jog, sudden stop",2
high jump,2
walkFigure8,2
WalkForward,2
360 smallStumble,2
walk stealthily,2
charleston_01,2
"whistle, walk jauntily",2
lindyHop2,2
Casual Walk,2
A pulls B by the elbow; B resists (2 subjects - subject B),2
A pulls B; B resists (2 subjects - subject B),2
"walk, shake hands (2 subjects - subject B)",2
chicken dance (2 subjects - subject A),2
"run, scramble for last seat (2 subjects - subject A)",2
quarrel - angry hand gestures (2 subjects - subject A),2
"muscular, heavyset person's walk",2
90,2
charleston_side_by_side_male,2
charleston_side_by_side_female,2
A pulls B by the elbow; B resists (2 subjects - subject A),2
A pulls B; B resists (2 subjects - subject A),2
"walk, shake hands (2 subjects - subject A)",2
DragBadLegWalk,2
HurtStomachWalk,2
HurtLegWalk,2
wait for bus,2
bird,2
"run, leap",2
"jump up and down, hop on one foot",2
"playground - grip bar, swing body",2
climb backwards off ledge,2
"navigate - walk forward, backward, sideways, on a diagonal",2
JogStop,2
jump backwards off ledge,2
StartJog,2
bck flp twst fall,2
LavishWalk,2
CoolWalk,2
TooCoolWalk,2
JogThrough,2
cartwheels,2
push object that is high in air,2
normal walk forward,2
squirrel (human subject),2
russian dance,2
fwd ball walk,2
straight walk,2
monkey sequence,2
Motorcycle Pose,2
mummy8,2
mummyDigital8,2
drag heavy object,2
DrunkWalk,2
superhero,2
ghost (human subject),2
insect/praying mantis (human subject),2
roadrunner (human subject),2
front hand flip,2
SadWalk,2
Pushing on heavy object,2
playground - climb,2
QuickWalk,2
dinosaur (human subject),2
CarefulWalk LookingAround,2
Run in Circles,2
ShyWalk,2
Sneak Sideways,2
Get Up From Ground,2
Range Of Motion,2
"dance - retire derriere, attitude/arabesque",2
Get Up Face Down,2
Get Up Laying on Side,2
Idle,2
acheyWalk,2
CasualQuickWalk,2
basketball - backward dribble,2
basketball - sideways dribble,2
"dance - glissade devant, glissade derriere, attitude/arabesque",2
medium step forward and down,2
DefensiveMoveSideToSide,2
bang on high object,2
"bend, lift",2
DepressedWalk,2
ClumsyWalk,2
Alaska vacation,2
static pose,2
Limp,2
270,2
180 degree jump,1
Walk sideway,1
Walk digital 8,1
Stepping up / stepping down,1
Sit in chair and get up,1
Standing still,1
"Walk, mope around",1
Lay down and get up,1
Mummy Walk,1
Walking up stairs,1
Throwing,1
Walk figure eight,1
Walk figure 8,1
Punch and kick,1
SpasticWalk,1
Roll over,1
AttitudeWalk,1
DefensiveLeftStopToStop,1
Walk8,1
DefensiveMoveZigZag,1
Pivoting,1
SraightDriveFromStop,1
RightDrive (left then right),1
LeftDrive (right then left),1
WalkDigital8,1
RightTightTurn,1
rangeOfMotion_01,1
"neutral Male walk, exact footfalls",1
AttitudeWalkRightAngleTurns,1
AttitudeWalk8,1
ZombieWalkRightAngleTurns,1
Punch Kick,1
ZombieWalk8,1
"Frankenstein male walk, exact footfalls",1
HappyGoLuckWalk,1
ZombieWalk,1
SlowWalkRightAngleTurns,1
SlowWalk8,1
ExcitedWalk,1
SternWalkRightAngleTurns,1
SternWalk8,1
StumbleWalk,1
RegularWalkRightAngleTurns,1
RegularWalk8,1
CasualWalk,1
Digital8,1
DefensiveRightStopToStop,1
DefensiveStraightWithStop,1
DefensiveStraightNoStop,1
rangeOfMotion,1
Lay down,1
Get up from chair,1
HappyStartWalk,1
RightWideTurn,1
LeftWideTurn,1
Crawling,1
SuperTightLeft,1
SuperTightRight,1
bad AMC,1
RunningStraight,1
RunningWideRight,1
RunningWideLeft,1
RunningTighterRight,1
106_15.amc,1
RunningNoBall,1
OffensiveMoveGoRight,1
OffensiveMoveGoLeft,1
OffensiveMoveSpinRight,1
MotorCyclePose,1
WalkEvasiveLeft,1
mummyWalk,1
WalkEvasiveRight,1
FeintLeftMoveRight,1
FeintRightMoveLeft,1
FakeShotBreakRight,1
FakeShotBreakLeft,1
"playground - forward jumps, turn around",1
Go Forward,1
Walk up and down stairs,1
Sneaky,1
Elderlyman,1
Happy,1
Joy,1
Lavish,1
Painfulleftknee,1
Relaxed,1
Rushed,1
Sad,1
Sexy,1
Shy,1
Run to Stop,1
Run To Sneak,1
Start to Run,1
Run Figure 8,1
Jumping Distances,1
Jumping Heights,1
Jumping Sideways,1
Walk And Pick up Tool Box,1
Walk And Pick up Box,1
Walk And Pick up Toolbox,1
Walk and Pick up Laundry Basket,1
Walk Up Stairs And Over,1
Elated,1
Depressed,1
Cool,1
Childish,1
Jump Distances,1
Jump Sideways,1
Jump Twist,1
Walk Up and Over,1
Steop On Walk Down,1
Step Over,1
Toss and Catch,1
Throw and Catch,1
"Dance, Twist",1
Stretch and Yawn,1
Punch and Kick,1
Wave Hello,1
Sit on Stool,1
Peek a Boo,1
Waiting,1
High Five,1
Shake Hands,1
Around the world High Five Low,1
"Slap Hands, Throw it Back",1
"Walk Sideways, Cross Legs",1
"Walk Sideways, Foot to Foot",1
Sit Down And Get Up,1
Sit On Stool And Get Up,1
Catch And Throw,1
Left_Front_Kicking,1
Left_Lunges,1
Left_Lunges001,1
Left_Punch_Sequence001,1
Left_Punch_Sequence002,1
Left_Spin_reach001,1
Left_Spin_reach002,1
Lunges,1
Lunges001,1
Punch_Sequence,1
Punch_Sequence001,1
Reach_Left001,1
Reach_Left002,1
Reach_Right,1
Reach_Right001,1
Right_Blocks,1
Right_Blocks001,1
Right_Spin_reach,1
Right_Spin_reach001,1
Sun Salutation,1
Sun Salutation001,1
Sun Salutation002,1
Left_Front_Kicking001,1
Left_Blocks001,1
Catch And Throw Football,1
Left_Blocks,1
Punching,1
Kicking,1
Waving,1
"Sweeping, Push Broom",1
Pacing,1
Stretch And Yawn,1
Hopscotch,1
Peek A Boo,1
Chicken Dance,1
Macarena Dance,1
Airplane,1
Climb Up And Down Ladder,1
Walk Digital 8,1
Walk Sideways,1
Sneak,1
Cartwheels,1
Cartwheels001,1
Figure8s,1
Figure8s001,1
Front_Kicking,1
Front_Kicking001,1
Giving Directions,1
Ducking,1
Standing Still,1
Run Roll Underneath,1
Underhand Toss,1
Underhand Fast Pitch,1
Break Stroke,1
Butterfly,1
Walk to Run,1
Run to Quick Stop,1
Run Side Step Left,1
Run Side Step Right,1
Run Turn Left,1
Run Turn Right,1
Walk Duck Footed,1
Pulling a Gun,1
Walk With Knees Bent,1
Walk Crossover,1
Pigeon Toed Walking,1
Tpose,1
Walk With Legs Apart,1
Walk With Wild Arms,1
Walk ZigZag,1
Duck Under,1
Lean Turn Right,1
Pump Jump,1
2 Foot Jump,1
Frisbee,1
Baseball Bunt,1
Baseball Swing,1
Step over,1
Throw,1
Getting up from laying down,1
Sitting in chair,1
Laying down and getting up,1
Sit down and stretch,1
"Pick up box, bend from waist",1
Alien Turn,1
Gorilla,1
Mickey cast spell,1
Mickey Conducting,1
Mickey sneaky walk,1
Walk slow,1
Robot,1
Zombie,1
cleaned,1
19.5lb,1
Basketball Shoot,1
Basketball Free Throw,1
Basketball Jump Shot,1
Basketball Lay Up,1
Stop ang Go,1
Lean Turn Left,1
Bassai,1
Gangly Teen Pick Up,1
Gangly Teen Walk,1
Graceful Lady Coffee Mug,1
Graceful Lady Pick Up,1
Graceful Lady Wait,1
Graceful Lady Walk,1
Normal Coffee Mug,1
Normal Pick Up,1
Normal Wait,1
Old Man Coffee Mug,1
Old Man Pick Up,1
Old Man Wait,1
Old Man Walk,1
Sexy Lady Coffee Mug,1
Sexy Lady Pick Up,1
Sexy Lady Wait,1
Sexy Lady Walk,1
Strong Man Coffee Mug,1
Strong Man Pick Up,1
Strong Man Wait,1
Strong Man Walk,1
Shifting Weight,1
Gangly Teen Wait,1
Gangly Teen Coffee Mug,1
Front Kick,1
Drunk Walk,1
Gedanbarai,1
Heiansyodan,1
Mawashigeri,1
Oiduki,1
Syutouuke,1
Yokogeri,1
Cat Coffee Mug,1
Cat Pick Up,1
Cat Wait,1
Cat Walk,1
Chicken Coffee Mug,1
Chicken Pick Up,1
Chicken Wait,1
Chicken Walk,1
Dinosaur Coffee Mug,1
Dinosaur Pick Up,1
Dinosaur Wait,1
Dinosaur Walk,1
Drunk Coffee Mug,1
Drunk Pick Up,1
Drunk Wait,1
Walk digital figure eight,1
happy or fast walk forward,1
arm up wide leg roll,1
"sawing, hand saw",1
"dance - arms held high, side arabesque",1
"static dance pose - folded in, head lowered, leg bent",1
"acrobatics - spin/twirl, hang on ropes",1
"dance - lean back on bent leg, balance, bend elbow by ear",1
squirrel - robotic like motion (human subject),1
"dance, whirl",1
lambada dance,1
genie (human subject),1
animal (human subject),1
dancing bear (human subject),1
panda (human subject),1
hippo ballerina (human subject),1
devil,1
various animals (human subject),1
dancing animal (human subject),1
dancing ant (human subject),1
monkey/bear (human subject),1
walk around,1
"vignettes - fists up, wipe window, yawn, stretch, angrily grab, smash against wall",1
"vignettes - fists up, wipe window, yawn, stretch, angrily grab, smash against wall, lift open window, throw punches, skip",1
"vignettes - fists up, wipe window, grab, lift open window, throw punches, yawn, stretch, walk, jump",1
"vignettes - walk, drink water, run/jog, jump, wipe window, lift open window, throw punches, yawn, stretch",1
"vignettes - throw punches, grab, skip, yawn, stretch, leap, lift open window, walk, jump/bound",1
"vignettes - yawn, stretch, walk, run/jog, angrily grab, jump, skip, halt",1
"vignettes - lift open window, smash against wall, hop, walk, run/jog, yawn, stretch",1
"stretch - rotate head, shoulders, arms, legs",1
"climb, step over, sit on, jump over stepstool",1
"walk around, frequent turns, cyclic walk along a line",1
"conversation - B pounds high stool, points at A (2 subjects - subject B)",1
"A shelters B, a younger child, from harm (2 subjects - subject B)",1
"B shelters A, a younger child, from harm (2 subjects - subject B)",1
A stumbles into B (2 subjects - subject B),1
A passes soda to B; both drink (2 subjects - subject B),1
alternating squats (2 subjects - subject B),1
alternating jumping jacks (2 subjects - subject B),1
synchronized jumping jacks (2 subjects - subject B),1
"rush up, arm wrestle (2 subjects - subject B)",1
"A stares down B, leans with hands on high stool (2 subjects - subject B)",1
"B stares down A, leans with hands on high stool (2 subjects - subject B)",1
"violence - A picks up high stool, threatens to strike B (2 subjects - subject B)",1
walk; B catches keys thrown by A (2 subjects - subject B),1
run around in a circle,1
walk; A catches keys thrown by B (2 subjects - subject B),1
walk; B catches wallet thrown by A (2 subjects - subject B),1
walk; A catches wallet thrown by B (2 subjects - subject B),1
"bend, pick up",1
fish (human subject),1
"football - throw, catch (2 subjects - subject A)",1
"football - throw, catch, jump around (2 subjects - subject A)",1
"football - throw, catch (2 subjects - subject B)",1
"football - throw, catch, jump around (2 subjects - subject B)",1
navigate around obstacles,1
jump/hop on uneven terrain,1
"bolt tightening, wrench",1
unscrewing,1
moonwalk,1
pulling a nail,1
360 jump,1
box jump,1
long jumps,1
high sit,1
low sit,1
walk backwards then attack with a punch,1
"walk backwards, feign a few attacks, then attack",1
avoid attacker,1
defensive guard pose,1
swatting at pesky bug,1
avoid stepping on something,1
careful stepping over things,1
walking backwards,1
turning,1
quick large steps backwards,1
looking around,1
standing,1
ready stance,1
Looking around,1
look around with flashlight,1
searching ground,1
poking ground,1
investigating thing on ground with two hands,1
duck to avoid flying object,1
careful run in circle,1
360 jumps,1
angle jumps,1
180 jump,1
bolt tightening,1
hammering sequence,1
cleaning up,1
hard days drink,1
moving a stool,1
closing umbrella,1
opening and closing umbrella,1
closing a box,1
opening a box,1
"closing, moving and opening a box",1
coiling a rope,1
dynamic calibration,1
"bolt tightening, with putting bolt in",1
cross leg run,1
walk and turn both directions (repeated),1
walk backwards and turn (repeated),1
walk sideways and backwards,1
"walk forward and pick up object, set down object",1
"walk forward and pick up object, carry back object",1
"walk up to object, squat, pick up object, set down in another place.",1
"walk up to object, pick up object, set down in another place",1
thinker,1
slope 1,1
slope1,1
wide leg run,1
"A gives B a shoulder rub; B sits, A stands (subjects - subject B)",1
"hold hands, swing arms, walk (2 subjects - subject B)",1
"A comforts B, puts one hand on B's shoulder (2 subjects - subject B)",1
"B comforts A, puts both hands on A's shoulders (2 subjects - subject B)",1
"basketball - forward dribble, 90-degree right turns",1
"basketball - forward dribble, 90-degree right turns, crossover dribble",1
"basketball - low, fast free style dribble, dribble through legs",1
"basketball - crossover dribble, shoot",1
"basketball - dribble, shoot",1
brisk walk,1
walk/stride,1
"walk, exaggerated stride",1
slow walk/stride,1
"navigate - walk forward, backward, sideways",1
tai chi,1
"sit on stepstool, chin in hand",1
"sit on stepstool, hands against chin, fidget, stand up",1
"sit on stepstool, hands against chin, elbow out, stand up",1
"unscrew bottlecap, drink soda, screw on bottlecap",1
"direct traffic, wave",1
"jumping jacks, side twists, bend over, squats",1
"jumping jacks, side twists, squats, jog",1
"jumping jacks, side twists, bend over, jog",1
"drink soda, screw on bottlecap",1
"jumping jacks, side twists, reach up, bend over",1
"sit on stepstool, stand up, swing legs",1
"sit on stepstool, ankle on other knee, hand on chin",1
"climb, step over, sit on, stand on stepstool",1
"lean forward, reach for",1
"basketball - forward dribble, 90-degree left turns",1
"dance - coupe dessous, grand jete en tourant",1
"dance - coupe dessous, jete en tourant",1
"jump, balance",1
"playground - climb, hang, swing",1
"playground - climb, go under",1
"playground - climb, sit, dangle legs, descend",1
"playground - climb, sit, dangle legs, jump down",1
"playground - climb, sit, dangle legs, rock back, lower self to ground",1
"playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under",1
"playground - climb, swing, lean back, drop",1
"playground - climb, hang, lean over, jump down",1
"playground - climb, pull up, dangle, sit, lower self to ground",1
"playground - climb, go under, jump down",1
"playground - climb, jump down, dangle, legs push off against",1
punch/strike,1
"dance - small jetes, pirouette",1
"bend over, scoop up, rise, lift arm",1
wash self,1
"dance - expressive arms, pirouette",1
"dance - sideways arabesque, turn step, folding arms",1
"dance - sideways arabesque, folding arms, bending back",1
"dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant",1
"dance - cartwheel-like start, pirouettes, jete",1
"dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn",1
"dance - rond de jambe in the air, jete, turn",1
"dance - sideways steps, pirouette",1
"dance - arms held high, pointe tendue a terre, upper body rotation",1
"lean forward, tiptoe, reach for",1
hand signals - horizontally revolve forearms,1
"wash windows, paint figure eights; hand signals",1
"A stares down B, leans with hands on high stool (2 subjects - subject A)",1
"A comforts B, puts one hand on B's shoulder (2 subjects - subject A)",1
"hold hands, swing arms, walk (2 subjects - subject A)",1
"A gives B a shoulder rub; B sits, A stands (2 subjects - subject A)",1
"A shelters B, a younger child, from harm (2 subjects - subject A)",1
"B shelters A, a younger child, from harm (2 subjects - subject A)",1
A stumbles into B (2 subjects - subject A),1
A passes soda to B; both drink (2 subjects - subject A),1
alternating squats (2 subjects - subject A),1
alternating jumping jacks (2 subjects - subject A),1
synchronized jumping jacks (2 subjects - subject A),1
"rush up, arm wrestle (2 subjects - subject A)",1
"B stares down A, leans with hands on high stool (2 subjects - subject A)",1
"A comforts B, puts both hands on B's shoulders (2 subjects - subject A)",1
"violence - A picks up high stool, threatens to strike B (2 subjects - subject A)",1
"conversation - B pounds high stool, points at A (2 subjects - subject A)",1
walk; B catches keys thrown by A (2 subjects - subject A),1
walk; A catches keys thrown by B (2 subjects - subject A),1
walk; B catches wallet thrown by A (2 subjects - subject A),1
walk; A catches wallet thrown by B (2 subjects - subject A),1
B sits; A pulls up B (subjects - subject B),1
A sits; B pulls up A (subjects - subject B),1
"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject B)",1
"B comforts A, puts one hand on A's shoulder (2 subjects - subject B)",1
"A comforts B, puts both hands on B's shoulders (2 subjects - subject B)",1
"B comforts A, puts both hands on A's shoulders (2 subjects - subject A)",1
"B comforts A, puts one hand on A's shoulder (2 subjects - subject A)",1
"wash windows; basketball - dribble, lay-up shot, pass; throw ball; dance - Egyptian walk, the Dive, the Twist; strew",1
nursery rhyme - ring around the rosey (2 subjects - subject A),1
"run, veer left",1
walk/hobble,1
"navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject A)",1
conversation - explain with hand gestures (2 subjects - subject A),1
"conversation - explain with hand gestures, walk (2 subjects - subject A)",1
"friends meet, hang out; A sits, B joins A (2 subjects - subject A)",1
"navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject B)",1
conversation - explain with hand gestures (2 subjects - subject B),1
"conversation - explain with hand gestures, walk (2 subjects - subject B)",1
"friends meet, hang out; A sits, B joins A (2 subjects - subject B)",1
zombie march (2 subjects - subject A),1
360-degree two-person whip (2 subjects - subject A),1
"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject A)",1
"high-five, walk (2 subjects - subject A)",1
"low-five, walk (2 subjects - subject A)",1
blind man's bluff (blindfold tag) (2 subjects - subject A),1
zombie march (2 subjects - subject B),1
nursery rhyme - ring around the rosey (2 subjects - subject B),1
360-degree two-person whip (2 subjects - subject B),1
"high-five, walk (2 subjects - subject B)",1
"low-five, walk (2 subjects - subject B)",1
blind man's bluff (blindfold tag) (2 subjects - subject B),1
B sits; A pulls up B (2 subjects - subject A),1
A sits; B pulls up A (2 subjects - subject A),1
careful run in figure eight,1
"laying down on back, getting up, careful ready pose",1
careful walk,1
setting glass of water,1
large step to a short ledge,1
very large sidestep to right,1
very large sidestep to right and down,1
short sidestep to right and down,1
short step forward and down,1
medium sidestep to right and down,1
short sidestep to left and down,1
short step forward,1
medium sidestep to left and down,1
medium step to left and down,1
short step to left and forward,1
medium sidestep to left,1
large step to left and forward,1
short sidestep to left and up,1
medium step to left and up,1
short step forward and up,1
"medium step to left, forward, and up",1
sidestep to right then back to left,1
walk forward and up stairs,1
walk forward and stepping up stairs,1
short hop forward,1
hop turn 180 degrees left in air,1
hop turn 360 degrees left in air,1
hop turn left 360 degrees in air,1
large sidestep to right and forward,1
sidestep to the right and up a ledge,1
walk forward and turn sideways,1
walk forward and slow down,1
chip monk,1
chugging,1
making coffee,1
slicing,1
rake leaves,1
violin,1
TV,1
drinking from bottle,1
happy,1
arguing,1
gorilla,1
cleaning window,1
panther,1
sad walk forward,1
piano,1
fix hair and walk forward,1
walk at a brisk pace,1
push heavy object,1
push heavy box,1
pull heavy object,1
adjust hair walk forward,1
Static pose,1
sitting on ground relaxing,1
stand still; casual walk forward,1
confident walk forward,1
short sidestep to right,1
short sidestep to the right,1
FancyFootWork,1
bkwd summersult,1
cartwheel into backflip,1
jump and spin kick,1
crouch and flip backward on hands,1
stretch and cartwheel,1
stretch and spin,1
stretches and jumps,1
balance object on forehead,1
flip and stand on one hand,1
"spins, flips, stand on one hand",1
"spin upside down, handstand, flips",1
balance beam,1
side flip,1
"backflips, jump onto platform, handstands, vertical pushups",1
Flip forward onto hands and back again,1
90_10.amc,1
hand spring,1
fall on face,1
BannanaPeelSlip,1
RugPullFall,1
monkey backflip,1
ball mount,1
bwk ball walk,1
breakdance,1
sequesnce,1
"stretches, cartwheels, flips, spin kicks, spins, and fall",1
Backflip,1
HandStandKicks,1
"walking, stretching, punching, chopping, and drinking",1
KickFlip,1
KickFlipStumble,1
Helicopter,1
EndofBreakDance,1
LongSequenceGood,1
BadStartSequnce,1
BreakSequencewithFlips,1
90TwistsFall,1
jumps kicks and punches,1
"walk, squats, run, stretch, jumps, punches, and drinking",1
"walking, running, jumping, kicking, and stretching",1
"walking, jumping, jumping jacks,  jumping on one foot, punching, chopping,",1
T-Pose,1
"walking, running, kicking, punching, knee kicking, and stretching",1
"walking, swinging arms, stretching, jumping on one leg, and jumping",1
"walking, squats, stretching, kicking, and punching",1
"walking, sitting, looking, stand up",1
"walk around, sit, stand up, and running",1
"walking, stretching, walking and turning",1
"walking, dragging, sweeping, dustpan, wipe window, and wipe mirror",1
"walking around, walk up ladder, step down ladder",1
"bouncing basketball, shooting basketball, dribble basketball, two handed dribble",1
"walking, sitting, hand motions",1
Jump with kick and spin,1
drinking and smoking,1
answering a phone,1
silent walk,1
eating,1
DefensiveMoveZigZag           CleanedGRS,1
Pivoting     CleanedGRS,1
SraightDriveFromStop          Cleaned GRS,1
RightDrive (left then right)    Cleaned GRS,1
LeftDrive (right then left)    Cleaned GRS,1
RightTightTurn    CleanedGRS,1
digging,1
hand shake,1
lost marker,1
slicing bread,1
Subject calibration,1
eating dinner,1
making dough,1
eating a sandwich,1
buying something,1
playing violin,1
playing drums,1
playing piano,1
hanging a picture,1
putting on a pull over,1
putting on a jacket,1
putting on button up sweater,1
moving heavy box,1
planting a tree,1
planting a plant,1
DefensiveLeftStopToStop              CleanedGRS,1
DefensiveRightStopToStop           CleanedGRS,1
DefensiveStraightWithStop          CleanedGRS,1
RunningTighterRight      CleanedGRS,1
creeping with limp,1
"creep and pause, repeat",1
LeftTightTurn         CleanedGRS,1
RightWideTurn            CleanedGRS,1
LeftWideTurn     CleanedGRS,1
SuperTightLeft        CleanedGRS,1
SuperTightRight         CleanedGRS,1
RunningStraight       CleanedGRS,1
RunningWideRight       CleanedGRS,1
RunningWideLeft      CleanedGRS,1
RunningTigherLeft      CleanedGRS,1
RunningNoBall     CleanedGRS,1
DefensiveStraightNoStop          CleanedGRS,1
OffensiveMoveSpinLeft            CleanedGRS,1
OffensiveMoveSpinLeft      CleanedGRS,1
OffensiveMoveGoRight     CleanedGRS,1
