motion_id,short_label,long_label
05_19,modern dance,"dance - attitude/arabesque, jete en tourant, bending back"
05_20,modern dance,"dance - attitude/arabesque, jete en tourant, bending back"
,,
06_01,dribble,walk
06_02,dribble,basketball - forward dribble
06_03,dribble,basketball - forward dribble
06_04,dribble,basketball - forward dribble
06_05,dribble,basketball - forward dribble
06_06,dribble,basketball - backward dribble
06_07,dribble,basketball - backward dribble
06_08,dribble,basketball - sideways dribble
06_09,dribble,basketball - sideways dribble
06_10,dribble,"basketball - forward dribble, 90-degree left turns"
06_11,dribble,"basketball - forward dribble, 90-degree right turns"
06_12,dribble,"basketball - forward dribble, 90-degree right turns, crossover dribble"
06_13,dribble,"basketball - low, fast free style dribble, dribble through legs"
06_14,dribble,"basketball - crossover dribble, shoot"
06_15,dribble,"basketball - dribble, shoot"
,,
07_01,walk,walk
07_02,walk,walk
07_03,walk,walk
07_04,walk,slow walk
07_05,walk,slow walk
07_06,walk,walk
07_07,walk,walk
07_08,walk,walk
07_09,walk,walk
07_10,walk,walk
07_11,walk,walk
07_12,walk,brisk walk
,,
08_01,walk,walk
08_02,walk,walk
08_03,walk,walk
08_04,walk,slow walk
08_05,walk,walk/stride
08_06,walk,walk
08_07,walk,"walk, exaggerated stride"
08_08,walk,walk
08_09,walk,walk
08_10,walk,walk
08_11,walk,slow walk/stride
,,
09_01,run,run
09_02,run,run
09_03,run,run
09_04,run,run
09_05,run,run
09_06,run,run
09_07,run,run
09_08,run,run
09_09,run,run
09_10,run,run
09_11,run,run
09_12,run,"navigate - walk forward, backward, sideways"
,,
10_01,kick soccer ball,soccer - kick ball
10_02,kick soccer ball,soccer - kick ball
10_03,kick soccer ball,soccer - kick ball
10_04,kick soccer ball,walk
10_05,kick soccer ball,soccer - kick ball
10_06,kick soccer ball,soccer - kick ball
,,
11_01,kick soccer ball,soccer - kick ball
,,
12_01,tai chi,walk
12_02,tai chi,walk
12_03,tai chi,walk
12_04,tai chi,tai chi
,,
13_01,various everyday behaviors,"sit on high stool, stand up"
13_02,various everyday behaviors,"sit on high stool, stand up"
13_03,various everyday behaviors,"sit on high stool, stand up"
13_04,various everyday behaviors,"sit on stepstool, chin in hand"
13_05,various everyday behaviors,"sit on stepstool, hands against chin, fidget, stand up"
13_06,various everyday behaviors,"sit on stepstool, hands against chin, elbow out, stand up"
13_07,various everyday behaviors,"unscrew bottlecap, drink soda"
13_08,various everyday behaviors,"unscrew bottlecap, drink soda, screw on bottlecap"
13_09,various everyday behaviors,drink soda
13_10,various everyday behaviors,"jump up to grab, reach for, tiptoe"
13_11,various everyday behaviors,forward jump
13_12,various everyday behaviors,"jump up to grab, reach for, tiptoe"
13_13,various everyday behaviors,forward jump
13_14,various everyday behaviors,laugh
13_15,various everyday behaviors,laugh
13_16,various everyday behaviors,laugh
13_17,various everyday behaviors,boxing
13_18,various everyday behaviors,boxing
13_19,various everyday behaviors,forward jump
13_20,various everyday behaviors,wash windows
13_21,various everyday behaviors,wash windows
13_22,various everyday behaviors,wash windows
13_23,various everyday behaviors,sweep floor
13_24,various everyday behaviors,sweep floor
13_25,various everyday behaviors,sweep floor
13_26,various everyday behaviors,"direct traffic, wave"
13_27,various everyday behaviors,"direct traffic, wave, point"
13_28,various everyday behaviors,"direct traffic, wave, point"
13_29,various everyday behaviors,"jumping jacks, side twists, bend over, squats"
13_30,various everyday behaviors,"jumping jacks, side twists, squats, jog"
13_31,various everyday behaviors,"jumping jacks, side twists, bend over, jog"
13_32,various everyday behaviors,forward jump
13_33,various everyday behaviors,climb ladder
13_34,various everyday behaviors,climb ladder
13_35,various everyday behaviors,climb 3 steps
13_36,various everyday behaviors,climb 3 steps
13_37,various everyday behaviors,climb 3 steps
13_38,various everyday behaviors,climb 3 steps
13_39,various everyday behaviors,jump
13_40,various everyday behaviors,jump
13_41,various everyday behaviors,jump
13_42,various everyday behaviors,jump
,,
14_01,various everyday behaviors,boxing
14_02,various everyday behaviors,boxing
14_03,various everyday behaviors,boxing
14_04,various everyday behaviors,"drink soda, screw on bottlecap"
14_05,various everyday behaviors,"unscrew bottlecap, drink soda"
14_06,various everyday behaviors,"jumping jacks, jog, squats, side twists, stretches"
14_07,various everyday behaviors,"jump up to grab, reach for, tiptoe"
14_08,various everyday behaviors,"jump up to grab, reach for, tiptoe"
14_09,various everyday behaviors,"jump up to grab, reach for, tiptoe"
14_10,various everyday behaviors,wash windows
14_11,various everyday behaviors,wash windows
14_12,various everyday behaviors,wash windows
14_13,various everyday behaviors,mop floor
14_14,various everyday behaviors,"jumping jacks, jog, squats, side twists, stretches"
14_15,various everyday behaviors,mop floor
14_16,various everyday behaviors,sweep floor
14_17,various everyday behaviors,laugh
14_18,various everyday behaviors,laugh
14_19,various everyday behaviors,laugh
14_20,various everyday behaviors,"jumping jacks, side twists, reach up, bend over"
14_21,various everyday behaviors,climb 3 steps
14_22,various everyday behaviors,climb 3 steps
14_23,various everyday behaviors,climb 3 steps
14_24,various everyday behaviors,"direct traffic, wave, point"
14_25,various everyday behaviors,"direct traffic, wave, point"
14_26,various everyday behaviors,"direct traffic, wave, point"
14_27,various everyday behaviors,"sit on high stool, stand up"
14_28,various everyday behaviors,"sit on high stool, stand up"
14_29,various everyday behaviors,"sit on stepstool, stand up, swing legs"
14_30,various everyday behaviors,"sit on stepstool, ankle on other knee, hand on chin"
14_31,various everyday behaviors,"sit on stepstool, stand up"
14_32,various everyday behaviors,"sit on stepstool, stand up"
14_33,various everyday behaviors,climb ladder
14_34,various everyday behaviors,climb ladder
14_35,various everyday behaviors,climb ladder
14_36,various everyday behaviors,"sit on stepstool, stand up"
14_37,various everyday behaviors,drink soda
,,
15_01,various everyday behaviors,walk/wander
15_02,various everyday behaviors,"climb, step over, sit on, stand on stepstool"
15_03,various everyday behaviors,walk/wander
15_04,various everyday behaviors,"wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing"
15_05,various everyday behaviors,"wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing"
15_06,various everyday behaviors,"lean forward, reach for"
15_07,various everyday behaviors,"lean forward, tiptoe, reach for"
15_08,various everyday behaviors,hand signals - horizontally revolve forearms
15_09,various everyday behaviors,walk/wander
15_10,various everyday behaviors,"sit on high stool, stand up"
15_11,various everyday behaviors,"wash windows, paint figure eights; hand signals"
15_12,various everyday behaviors,"wash windows; basketball - dribble, lay-up shot, pass; throw ball; dance - Egyptian walk, the Dive, the Twist; strew"
15_13,various everyday behaviors,boxing
15_14,various everyday behaviors,walk/wander
,,
16_01,run,jump
16_02,run,jump
16_03,run,high jump
16_04,run,high jump
16_05,run,forward jump
16_06,run,forward jump
16_07,run,forward jump
16_08,run,"run/jog, sudden stop"
16_09,run,forward jump
16_10,run,forward jump
16_11,run,"walk, veer left"
16_12,run,"walk, veer left"
16_13,run,"walk, veer right"
16_14,run,"walk, veer right"
16_15,run,walk
16_16,run,walk
16_17,run,"walk, 90-degree left turn"
16_18,run,"walk, 90-degree left turn"
16_19,run,"walk, 90-degree right turn"
16_20,run,"walk, 90-degree right turn"
16_21,run,walk
16_22,run,walk
16_23,run,"walk, veer left"
16_24,run,"walk, veer left"
16_25,run,"walk, veer right"
16_26,run,"walk, veer right"
16_27,run,"walk, 90-degree left turn"
16_28,run,"walk, 90-degree left turn"
16_29,run,"walk, 90-degree right turn"
16_30,run,"walk, 90-degree right turn"
16_31,run,walk
16_32,run,walk
16_33,run,"slow walk, stop"
16_34,run,"slow walk, stop"
16_35,run,run/jog
16_36,run,run/jog
16_37,run,"run/jog, veer left"
16_38,run,"run/jog, veer left"
16_39,run,"run/jog, veer right"
16_40,run,"run/jog, veer right"
16_41,run,"run/jog, 90-degree left turn"
16_42,run,"run/jog, 90-degree left turn"
16_43,run,"run/jog, 90-degree right turn"
16_44,run,"run/jog, 90-degree right turn"
16_45,run,run/jog
16_46,run,run/jog
16_47,run,walk
16_48,run,"run, veer left"
16_49,run,"run, veer right"
16_50,run,"run, veer right"
16_51,run,"run, 90-degree left turn"
16_52,run,"run, 90-degree left turn"
16_53,run,"run, 90-degree right turn"
16_54,run,"run, 90-degree right turn"
16_55,run,run
16_56,run,run/jog
16_57,run,"run/jog, sudden stop"
16_58,run,walk
,,
17_01,different walking styles,"walk with anger, frustration"
17_02,different walking styles,"walk with anger, frustration"
17_03,different walking styles,walk stealthily
17_04,different walking styles,walk stealthily
17_05,different walking styles,walk/hobble
17_06,different walking styles,"whistle, walk jauntily"
17_07,different walking styles,"whistle, walk jauntily"
17_08,different walking styles,"muscular, heavyset person's walk"
17_09,different walking styles,"muscular, heavyset person's walk"
17_10,different walking styles,boxing
,,
18_01,human interaction and communication (2 subjects - subject a,"walk, shake hands (2 subjects - subject A)"
18_02,human interaction and communication (2 subjects - subject a,"walk, shake hands (2 subjects - subject A)"
18_03,human interaction and communication (2 subjects - subject a,A pulls B; B resists (2 subjects - subject A)
18_04,human interaction and communication (2 subjects - subject a,A pulls B; B resists (2 subjects - subject A)
18_05,human interaction and communication (2 subjects - subject a,A pulls B by the elbow; B resists (2 subjects - subject A)
18_06,human interaction and communication (2 subjects - subject a,A pulls B by the elbow; B resists (2 subjects - subject A)
18_07,human interaction and communication (2 subjects - subject a,"navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject A)"
18_08,human interaction and communication (2 subjects - subject a,conversation - explain with hand gestures (2 subjects - subject A)
18_09,human interaction and communication (2 subjects - subject a,"conversation - explain with hand gestures, walk (2 subjects - subject A)"
18_10,human interaction and communication (2 subjects - subject a,quarrel - angry hand gestures (2 subjects - subject A)
18_11,human interaction and communication (2 subjects - subject a,quarrel - angry hand gestures (2 subjects - subject A)
18_12,human interaction and communication (2 subjects - subject a,"friends meet, hang out; A sits, B joins A (2 subjects - subject A)"
18_13,human interaction and communication (2 subjects - subject a,"run, scramble for last seat (2 subjects - subject A)"
18_14,human interaction and communication (2 subjects - subject a,"run, scramble for last seat (2 subjects - subject A)"
18_15,human interaction and communication (2 subjects - subject a,chicken dance (2 subjects - subject A)
,,
19_01,human interaction and communication (2 subjects - subject b,"walk, shake hands (2 subjects - subject B)"
19_02,human interaction and communication (2 subjects - subject b,"walk, shake hands (2 subjects - subject B)"
19_03,human interaction and communication (2 subjects - subject b,A pulls B; B resists (2 subjects - subject B)
19_04,human interaction and communication (2 subjects - subject b,A pulls B; B resists (2 subjects - subject B)
19_05,human interaction and communication (2 subjects - subject b,A pulls B by the elbow; B resists (2 subjects - subject B)
19_06,human interaction and communication (2 subjects - subject b,A pulls B by the elbow; B resists (2 subjects - subject B)
19_07,human interaction and communication (2 subjects - subject b,"navigate busy sidewalk; A leads the way, takes B by the arm (2 subjects - subject B)"
19_08,human interaction and communication (2 subjects - subject b,conversation - explain with hand gestures (2 subjects - subject B)
19_09,human interaction and communication (2 subjects - subject b,"conversation - explain with hand gestures, walk (2 subjects - subject B)"
19_10,human interaction and communication (2 subjects - subject b,quarrel - angry hand gestures (2 subjects - subject B)
19_11,human interaction and communication (2 subjects - subject b,quarrel - angry hand gestures (2 subjects - subject B)
19_12,human interaction and communication (2 subjects - subject b,"friends meet, hang out; A sits, B joins A (2 subjects - subject B)"
19_13,human interaction and communication (2 subjects - subject b,"run, scramble for last seat (2 subjects - subject B)"
19_14,human interaction and communication (2 subjects - subject b,"run, scramble for last seat (2 subjects - subject B)"
19_15,human interaction and communication (2 subjects - subject b,chicken dance (2 subjects - subject B)
,,
20_01,human interaction - at play,chicken dance (2 subjects - subject A)
20_02,human interaction - at play,"link arms, walk (2 subjects - subject A)"
20_03,human interaction - at play,"link arms, walk (2 subjects - subject A)"
20_04,human interaction - at play,synchronized walk (2 subjects - subject A)
20_05,human interaction - at play,synchronized walk (2 subjects - subject A)
20_06,human interaction - at play,soldiers march (2 subjects - subject A)
20_07,human interaction - at play,soldiers march (2 subjects - subject A)
20_08,human interaction - at play,zombie march (2 subjects - subject A)
20_09,human interaction - at play,nursery rhyme - ring around the rosey (2 subjects - subject A)
20_10,human interaction - at play,360-degree two-person whip (2 subjects - subject A)
20_11,human interaction - at play,"high-five, walk (2 subjects - subject A)"
20_12,human interaction - at play,"low-five, walk (2 subjects - subject A)"
20_13,human interaction - at play,blind man's bluff (blindfold tag) (2 subjects - subject A)
,,
21_01,human interaction - at play,chicken dance (2 subjects - subject B)
21_02,human interaction - at play,"link arms, walk (2 subjects - subject B)"
21_03,human interaction - at play,"link arms, walk (2 subjects - subject B)"
21_04,human interaction - at play,synchronized walk (2 subjects - subject B)
21_05,human interaction - at play,synchronized walk (2 subjects - subject B)
21_06,human interaction - at play,soldiers march (2 subjects - subject B)
21_07,human interaction - at play,soldiers march (2 subjects - subject B)
21_08,human interaction - at play,zombie march (2 subjects - subject B)
21_09,human interaction - at play,nursery rhyme - ring around the rosey (2 subjects - subject B)
21_10,human interaction - at play,360-degree two-person whip (2 subjects - subject B)
21_11,human interaction - at play,"high-five, walk (2 subjects - subject B)"
21_12,human interaction - at play,"low-five, walk (2 subjects - subject B)"
21_13,human interaction - at play,blind man's bluff (blindfold tag) (2 subjects - subject B)
,,
22_01,human interaction (2 subjects - subject a,B sits; A pulls up B (2 subjects - subject A)
22_02,human interaction (2 subjects - subject a,A sits; B pulls up A (2 subjects - subject A)
22_03,human interaction (2 subjects - subject a,"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject A)"
22_04,human interaction (2 subjects - subject a,"B comforts A, puts one hand on A's shoulder (2 subjects - subject A)"
22_05,human interaction (2 subjects - subject a,"A comforts B, puts both hands on B's shoulders (2 subjects - subject A)"
22_06,human interaction (2 subjects - subject a,"B comforts A, puts both hands on A's shoulders (2 subjects - subject A)"
22_07,human interaction (2 subjects - subject a,"A comforts B, puts one hand on B's shoulder (2 subjects - subject A)"
22_08,human interaction (2 subjects - subject a,"hold hands, swing arms, walk (2 subjects - subject A)"
22_09,human interaction (2 subjects - subject a,"A gives B a shoulder rub; B sits, A stands (2 subjects - subject A)"
22_10,human interaction (2 subjects - subject a,"A shelters B, a younger child, from harm (2 subjects - subject A)"
22_11,human interaction (2 subjects - subject a,"B shelters A, a younger child, from harm (2 subjects - subject A)"
22_12,human interaction (2 subjects - subject a,A stumbles into B (2 subjects - subject A)
22_13,human interaction (2 subjects - subject a,A passes soda to B; both drink (2 subjects - subject A)
22_14,human interaction (2 subjects - subject a,alternating squats (2 subjects - subject A)
22_15,human interaction (2 subjects - subject a,alternating jumping jacks (2 subjects - subject A)
22_16,human interaction (2 subjects - subject a,synchronized jumping jacks (2 subjects - subject A)
22_17,human interaction (2 subjects - subject a,"rush up, arm wrestle (2 subjects - subject A)"
22_18,human interaction (2 subjects - subject a,"A stares down B, leans with hands on high stool (2 subjects - subject A)"
22_19,human interaction (2 subjects - subject a,"B stares down A, leans with hands on high stool (2 subjects - subject A)"
22_20,human interaction (2 subjects - subject a,"violence - A picks up high stool, threatens to strike B (2 subjects - subject A)"
22_21,human interaction (2 subjects - subject a,"conversation - B pounds high stool, points at A (2 subjects - subject A)"
22_22,human interaction (2 subjects - subject a,walk; B catches keys thrown by A (2 subjects - subject A)
22_23,human interaction (2 subjects - subject a,walk; A catches keys thrown by B (2 subjects - subject A)
22_24,human interaction (2 subjects - subject a,walk; B catches wallet thrown by A (2 subjects - subject A)
22_25,human interaction (2 subjects - subject a,walk; A catches wallet thrown by B (2 subjects - subject A)
,,
23_01,human interaction (2 subjects - subject b,B sits; A pulls up B (subjects - subject B)
23_02,human interaction (2 subjects - subject b,A sits; B pulls up A (subjects - subject B)
23_03,human interaction (2 subjects - subject b,"A sits, holds face in hands; B kneels, comforts A (2 subjects - subject B)"
23_04,human interaction (2 subjects - subject b,"B comforts A, puts one hand on A's shoulder (2 subjects - subject B)"
23_05,human interaction (2 subjects - subject b,"A comforts B, puts both hands on B's shoulders (2 subjects - subject B)"
23_06,human interaction (2 subjects - subject b,"B comforts A, puts both hands on A's shoulders (2 subjects - subject B)"
23_07,human interaction (2 subjects - subject b,"A comforts B, puts one hand on B's shoulder (2 subjects - subject B)"
23_08,human interaction (2 subjects - subject b,"hold hands, swing arms, walk (2 subjects - subject B)"
23_09,human interaction (2 subjects - subject b,"A gives B a shoulder rub; B sits, A stands (subjects - subject B)"
23_10,human interaction (2 subjects - subject b,"A shelters B, a younger child, from harm (2 subjects - subject B)"
23_11,human interaction (2 subjects - subject b,"B shelters A, a younger child, from harm (2 subjects - subject B)"
23_12,human interaction (2 subjects - subject b,A stumbles into B (2 subjects - subject B)
23_13,human interaction (2 subjects - subject b,A passes soda to B; both drink (2 subjects - subject B)
23_14,human interaction (2 subjects - subject b,alternating squats (2 subjects - subject B)
23_15,human interaction (2 subjects - subject b,alternating jumping jacks (2 subjects - subject B)
23_16,human interaction (2 subjects - subject b,synchronized jumping jacks (2 subjects - subject B)
23_17,human interaction (2 subjects - subject b,"rush up, arm wrestle (2 subjects - subject B)"
23_18,human interaction (2 subjects - subject b,"A stares down B, leans with hands on high stool (2 subjects - subject B)"
23_19,human interaction (2 subjects - subject b,"B stares down A, leans with hands on high stool (2 subjects - subject B)"
23_20,human interaction (2 subjects - subject b,"violence - A picks up high stool, threatens to strike B (2 subjects - subject B)"
23_21,human interaction (2 subjects - subject b,"conversation - B pounds high stool, points at A (2 subjects - subject B)"
23_22,human interaction (2 subjects - subject b,walk; B catches keys thrown by A (2 subjects - subject B)
23_23,human interaction (2 subjects - subject b,walk; A catches keys thrown by B (2 subjects - subject B)
23_24,human interaction (2 subjects - subject b,walk; B catches wallet thrown by A (2 subjects - subject B)
23_25,human interaction (2 subjects - subject b,walk; A catches wallet thrown by B (2 subjects - subject B)
,,
24_01,nursery rhymes,"nursery rhyme - ""I'm a little teapot..."""
,,
25_01,nursery rhymes,"nursery rhyme - ""I'm a little teapot..."""
,,
26_01,nursery rhymes,walk
26_02,nursery rhymes,basketball signals
26_03,nursery rhymes,"nursery rhyme - ""I'm a little teapot..."""
26_04,nursery rhymes,"nursery rhyme - ""I'm a little teapot..."""
26_05,nursery rhymes,Alaska vacation
26_06,nursery rhymes,Alaska vacation
26_07,nursery rhymes,nursery rhyme - Cock Robin
26_08,nursery rhymes,nursery rhyme - Cock Robin
26_09,nursery rhymes,"bend, pick up"
26_10,nursery rhymes,"bend, lift"
26_11,nursery rhymes,"bend, lift"
,,
27_01,recreation,walk
27_02,recreation,basketball signals
27_03,recreation,"nursery rhyme - ""I'm a little teapot..."""
27_04,recreation,Alaskan vacation
27_05,recreation,nursery rhyme - Cock Robin
27_06,recreation,basketball signals
27_07,recreation,"nursery rhyme - ""I'm a little teapot..."""
27_08,recreation,Alaskan vacation
27_09,recreation,Alaskan vacation
27_10,recreation,nursery rhyme - Cock Robin
27_11,recreation,prairie dog (human subject)
,,
28_01,recreation,basketball signals
28_02,recreation,"nursery rhyme - ""I'm a little teapot..."""
28_03,recreation,Alaskan vacation
28_04,recreation,nursery rhyme - Cock Robin
28_05,recreation,basketball signals
28_06,recreation,"nursery rhyme - ""I'm a little teapot..."""
28_07,recreation,Alaskan vacation
28_08,recreation,nursery rhyme - Cock Robin
28_09,recreation,prairie dog (human subject)
28_10,recreation,whale (human subject)
28_11,recreation,bear (human subject)
28_12,recreation,dog (human subject)
28_13,recreation,snake (human subject)
28_14,recreation,chicken (human subject)
28_15,recreation,monkey (human subject)
28_16,recreation,mouse (human subject)
28_17,recreation,cat (human subject)
28_18,recreation,elephant (human subject)
28_19,recreation,dinosaur (human subject)
,,
29_01,recreation,walk
29_02,recreation,basketball signals
29_03,recreation,"nursery rhyme - ""I'm a little teapot..."""
29_04,recreation,Alaskan vacation
29_05,recreation,Alaskan vacation
29_06,recreation,nursery rhyme - Cock Robin
29_07,recreation,basketball signals
29_08,recreation,"nursery rhyme - ""I'm a little teapot..."""
29_09,recreation,Alaskan vacation
29_10,recreation,nursery rhyme - Cock Robin
29_11,recreation,Alaskan vacation
29_12,recreation,Alaskan vacation
29_13,recreation,Alaskan vacation
29_14,recreation,prairie dog (human subject)
29_15,recreation,whale (human subject)
29_16,recreation,bear (human subject)
29_17,recreation,dog (human subject)
29_18,recreation,cat (human subject)
29_19,recreation,fish (human subject)
29_20,recreation,elephant (human subject)
29_21,recreation,mouse (human subject)
29_22,recreation,chicken (human subject)
29_23,recreation,dinosaur (human subject)
29_24,recreation,snake (human subject)
29_25,recreation,monkey (human subject)
,,
30_01,recreation,basketball signals
30_02,recreation,"nursery rhyme - ""I'm a little teapot..."""
30_03,recreation,Alaskan vacation
30_04,recreation,Alaskan vacation
30_05,recreation,nursery rhyme - Cock Robin
30_06,recreation,nursery rhyme - Cock Robin
30_07,recreation,basketball signals
30_08,recreation,"nursery rhyme - ""I'm a little teapot..."""
30_09,recreation,Alaskan vacation
30_10,recreation,nursery rhyme - Cock Robin
30_11,recreation,Alaskan vacation
30_12,recreation,Alaskan vacation
30_13,recreation,prairie dog (human subject)
30_14,recreation,whale (human subject)
30_15,recreation,bear (human subject)
30_16,recreation,dog (human subject)
30_17,recreation,cat (human subject)
30_18,recreation,elephant (human subject)
30_19,recreation,mouse (human subject)
30_20,recreation,chicken (human subject)
30_21,recreation,snake (human subject)
30_22,recreation,Tyrannosaurus rex (human subject)
30_23,recreation,monkey (human subject)
,,
31_01,recreation,basketball signals
31_02,recreation,"nursery rhyme - ""I'm a little teapot..."""
31_03,recreation,Alaskan vacation
31_04,recreation,nursery rhyme - Cock Robin
31_05,recreation,basketball signals
31_06,recreation,"nursery rhyme - ""I'm a little teapot..."""
31_07,recreation,Alaskan vacation
31_08,recreation,nursery rhyme - Cock Robin
31_09,recreation,Alaskan vacation
31_10,recreation,Alaskan vacation
31_11,recreation,prairie dog (human subject)
31_12,recreation,whale (human subject)
31_13,recreation,bear (human subject)
31_14,recreation,dog (human subject)
31_15,recreation,cat (human subject)
31_16,recreation,elephant (human subject)
31_17,recreation,Tyrannosaurus rex (human subject)
31_18,recreation,mouse (human subject)
31_19,recreation,chicken (human subject)
31_20,recreation,snake (human subject)
31_21,recreation,monkey (human subject)
,,
32_01,recreation,walk
32_02,recreation,walk
32_03,recreation,basketball signals
32_04,recreation,"nursery rhyme - ""I'm a little teapot..."""
32_05,recreation,Alaskan vacation
32_06,recreation,nursery rhyme - Cock Robin
32_07,recreation,basketball signals
32_08,recreation,"nursery rhyme - ""I'm a little teapot..."""
32_09,recreation,Alaskan vacation
32_10,recreation,nursery rhyme - Cock Robin
32_11,recreation,Alaskan vacation
32_12,recreation,Alaskan vacation
32_13,recreation,prairie dog (human subject)
32_14,recreation,bear (human subject)
32_15,recreation,dog (human subject)
32_16,recreation,cat (human subject)
32_17,recreation,elephant (human subject)
32_18,recreation,mouse (human subject)
32_19,recreation,chicken (human subject)
32_20,recreation,Tyrannosaurus rex (human subject)
32_21,recreation,snake (human subject)
32_22,recreation,monkey (human subject)
,,
33_01,throw and catch football (2 subjects - subject a,"football - throw, catch (2 subjects - subject A)"
33_02,throw and catch football (2 subjects - subject a,"football - throw, catch, jump around (2 subjects - subject A)"
,,
34_01,throw and catch football (2 subjects - subject b,"football - throw, catch (2 subjects - subject B)"
34_02,throw and catch football (2 subjects - subject b,"football - throw, catch, jump around (2 subjects - subject B)"
,,
35_01,walk,walk
35_02,walk,walk
35_03,walk,walk
35_04,walk,walk
35_05,walk,walk
35_06,walk,walk
35_07,walk,walk
35_08,walk,walk
35_09,walk,walk
35_10,walk,walk
35_11,walk,walk
35_12,walk,walk
35_13,walk,walk
35_14,walk,walk
35_15,walk,walk
35_16,walk,walk
35_17,walk,run/jog
35_18,walk,run/jog
35_19,walk,run/jog
35_20,walk,run/jog
35_21,walk,run/jog
35_22,walk,run/jog
35_23,walk,run/jog
35_24,walk,run/jog
35_25,walk,run/jog
35_26,walk,run/jog
35_27,walk,navigate around obstacles
35_28,walk,walk
35_29,walk,walk
35_30,walk,walk
35_31,walk,walk
35_32,walk,walk
35_33,walk,walk
35_34,walk,walk
,,
36_01,walk on uneven terrain,walk on uneven terrain
36_02,walk on uneven terrain,"walk forward, turn around, walk back"
36_03,walk on uneven terrain,"walk forward, turn around, walk back"
36_04,walk on uneven terrain,walk on uneven terrain
36_05,walk on uneven terrain,walk on uneven terrain
36_06,walk on uneven terrain,walk on uneven terrain
36_07,walk on uneven terrain,walk on uneven terrain
36_08,walk on uneven terrain,walk on uneven terrain
36_09,walk on uneven terrain,"walk forward, turn around, walk back"
36_10,walk on uneven terrain,walk on uneven terrain
36_11,walk on uneven terrain,walk on uneven terrain
36_12,walk on uneven terrain,walk on uneven terrain
36_13,walk on uneven terrain,walk on uneven terrain
36_14,walk on uneven terrain,walk on uneven terrain
36_15,walk on uneven terrain,walk on uneven terrain
36_16,walk on uneven terrain,walk on uneven terrain
36_17,walk on uneven terrain,walk on uneven terrain
36_18,walk on uneven terrain,walk on uneven terrain
36_19,walk on uneven terrain,walk on uneven terrain
36_20,walk on uneven terrain,walk on uneven terrain
36_21,walk on uneven terrain,walk on uneven terrain
36_22,walk on uneven terrain,walk on uneven terrain
36_23,walk on uneven terrain,walk on uneven terrain
36_24,walk on uneven terrain,walk on uneven terrain
36_25,walk on uneven terrain,walk on uneven terrain
36_26,walk on uneven terrain,walk on uneven terrain
36_27,walk on uneven terrain,walk on uneven terrain
36_28,walk on uneven terrain,walk on uneven terrain
